algorithm,distribution,n,opt_level,trial,ns,checksum
stdlib,random,131072,O2,4,14061000,9221990434270192866
stdlib,random,131072,O2,5,13871000,9221990434270192866
stdlib,random,131072,O2,6,14760000,9221990434270192866
branchy,random,8388608,O2,0,841640000,8203815107406634294
branchy,random,8388608,O2,1,836906000,8203815107406634294
branchy,random,8388608,O2,2,832074000,8203815107406634294
branchy,random,8388608,O2,3,830756000,8203815107406634294
branchy,random,8388608,O2,4,830055000,8203815107406634294
branchy,random,8388608,O2,5,846377000,8203815107406634294
branchy,random,8388608,O2,6,836518000,8203815107406634294
branchless,random,8388608,O2,0,871464000,8203815107406634294
branchless,random,8388608,O2,1,866380000,8203815107406634294
branchless,random,8388608,O2,2,858391000,8203815107406634294
branchless,random,8388608,O2,3,866270000,8203815107406634294
branchless,random,8388608,O2,4,868156000,8203815107406634294
branchless,random,8388608,O2,5,870984000,8203815107406634294
branchless,random,8388608,O2,6,863323000,8203815107406634294
stdlib,random,8388608,O2,0,1173429000,8203815107406634294
stdlib,random,8388608,O2,1,1177342000,8203815107406634294
stdlib,random,8388608,O2,2,1170327000,8203815107406634294
stdlib,random,8388608,O2,3,1205095000,8203815107406634294
stdlib,random,8388608,O2,4,1282718000,8203815107406634294
stdlib,random,8388608,O2,5,1208774000,8203815107406634294
stdlib,random,8388608,O2,6,1349078000,8203815107406634294
branchy,random,131072,O3,0,10140000,9221990434270192866
branchy,random,131072,O3,1,10063000,9221990434270192866
branchy,random,131072,O3,2,11691000,9221990434270192866
branchy,random,131072,O3,3,10489000,9221990434270192866
branchy,random,131072,O3,4,10503000,9221990434270192866
branchy,random,131072,O3,5,11796000,9221990434270192866
branchy,random,131072,O3,6,10919000,9221990434270192866
branchless,random,131072,O3,0,10295000,9221990434270192866
branchless,random,131072,O3,1,11477000,9221990434270192866
branchless,random,131072,O3,2,10630000,9221990434270192866
branchless,random,131072,O3,3,10176000,9221990434270192866
branchless,random,131072,O3,4,10400000,9221990434270192866
branchless,random,131072,O3,5,10380000,9221990434270192866
branchless,random,131072,O3,6,10303000,9221990434270192866
stdlib,random,131072,O3,0,15061000,9221990434270192866
stdlib,random,131072,O3,1,14486000,9221990434270192866
stdlib,random,131072,O3,2,14141000,9221990434270192866
stdlib,random,131072,O3,3,15327000,9221990434270192866
stdlib,random,131072,O3,4,14292000,9221990434270192866
stdlib,random,131072,O3,5,15624000,9221990434270192866
stdlib,random,131072,O3,6,13981000,9221990434270192866
branchy,random,8388608,O3,0,913652000,8203815107406634294
branchy,random,8388608,O3,1,895188000,8203815107406634294
branchy,random,8388608,O3,2,885792000,8203815107406634294
branchy,random,8388608,O3,3,883678000,8203815107406634294
branchy,random,8388608,O3,4,886617000,8203815107406634294
branchy,random,8388608,O3,5,907669000,8203815107406634294
branchy,random,8388608,O3,6,894896000,8203815107406634294
branchless,random,8388608,O3,0,955035000,8203815107406634294
branchless,random,8388608,O3,1,901139000,8203815107406634294
branchless,random,8388608,O3,2,900778000,8203815107406634294
branchless,random,8388608,O3,3,919587000,8203815107406634294
branchless,random,8388608,O3,4,918716000,8203815107406634294
branchless,random,8388608,O3,5,912706000,8203815107406634294
branchless,random,8388608,O3,6,935294000,8203815107406634294
stdlib,random,8388608,O3,0,1271845000,8203815107406634294
stdlib,random,8388608,O3,1,1266551000,8203815107406634294
stdlib,random,8388608,O3,2,1258188000,8203815107406634294
stdlib,random,8388608,O3,3,1262183000,8203815107406634294
stdlib,random,8388608,O3,4,1261793000,8203815107406634294
stdlib,random,8388608,O3,5,1464019000,8203815107406634294
stdlib,random,8388608,O3,6,1371705000,8203815107406634294
